run_id,epoch,ARI,SCM,seed,task,logger,decoder,encoder,trainer,save_dir,callbacks,batch_size,datamodule,num_workers,val_dataset,train_dataset
yf1t8zcz,0,0.04652899131178856,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,1,0.08934810757637024,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,2,0.21008038520812988,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,3,0.2523373067378998,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,4,0.3294116258621216,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,5,0.33622580766677856,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,6,0.3558761775493622,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,7,0.30365702509880066,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,8,0.327030211687088,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,9,0.32582467794418335,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,10,0.3450965881347656,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,11,0.3275570571422577,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,12,0.31518736481666565,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,13,0.3021693825721741,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,14,0.34681436419487,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,15,0.3288628160953522,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,16,0.3395274579524994,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,17,0.3376263380050659,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,18,0.37320324778556824,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,19,0.3574291169643402,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,20,0.38464581966400146,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,21,0.37290579080581665,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,22,0.3852628469467163,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,23,0.4356471598148346,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
yf1t8zcz,24,0.44664275646209717,,8,,,,,,/home/mila/t/tom.marty/scratch/unregistered_logs,,32,,0,<dataset.SCM_Dataset object at 0x7f6e497cfa90>,<dataset.SCM_Dataset object at 0x7f6e497cccd0>
